"","id","date","weight","freight","city","state","lat","lon","shipments","state_full"
"1",1,"2019-01-02 00:00:00",500,185,"Southaven","MS",34.94971,-89.97212,1,"Mississippi"
"2",2,"2019-01-03 00:00:00",2108,1719.8,"Dallas","TX",32.78356,-96.79862,15,"Texas"
"3",3,"2019-01-03 00:00:00",626,246.39,"Bloomington","IN",39.19657,-86.59696,7,"Indiana"
"4",4,"2019-01-03 00:00:00",1904,323.52,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"5",5,"2019-01-04 00:00:00",570,255.86,"Des Moines","IA",41.61184,-93.60054,8,"Iowa"
"6",6,"2019-01-04 00:00:00",500,185,"Newark","NJ",40.70736,-74.21051,8,"New Jersey"
"7",7,"2019-01-04 00:00:00",972,197.24,"Nashville","TN",36.15108,-86.76452,2,"Tennessee"
"8",8,"2019-01-04 00:00:00",356,213.81,"Mira Loma","CA",33.98272,-117.55401,4,"California"
"9",9,"2019-01-09 00:00:00",693,185,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"10",10,"2019-01-10 00:00:00",711,319.98,"Breinigsville","PA",40.55276,-75.61496,9,"Pennsylvania"
"11",11,"2019-01-10 00:00:00",2259,722.97,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"12",12,"2019-01-10 00:00:00",556,360.19,"Portland","OR",45.53274,-122.55255,6,"Oregon"
"13",13,"2019-01-10 00:00:00",887,465.1,"Dallas","TX",32.75394,-96.86541,15,"Texas"
"14",14,"2019-01-11 00:00:00",678,228.75,"Bloomington","IN",39.19657,-86.59696,7,"Indiana"
"15",15,"2019-01-11 00:00:00",734,392.98,"Stockton","CA",37.96154,-121.23225,13,"California"
"16",16,"2019-01-14 00:00:00",3591,1366.56,"Sacramento","CA",38.54163,-121.38112,3,"California"
"17",17,"2019-01-14 00:00:00",567,272.12,"Ontario","CA",34.0283,-117.61948,3,"California"
"18",18,"2019-01-14 00:00:00",567,219.28,"Henderson","CO",39.88416,-104.89045,3,"Colorado"
"19",19,"2019-01-15 00:00:00",846,347.67,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"20",20,"2019-01-16 00:00:00",1829,1266.48,"Chino","CA",33.96314,-117.63632,8,"California"
"21",21,"2019-01-16 00:00:00",582,201.15,"Elk Grove Village","IL",42.01387,-88.05547,1,"Illinois"
"22",22,"2019-01-16 00:00:00",475,190.58,"Lenoir City","TN",35.79401,-84.26379,4,"Tennessee"
"23",23,"2019-01-16 00:00:00",1728,333.43,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"24",24,"2019-01-17 00:00:00",523,470.09,"Stockton","CA",37.96154,-121.23225,13,"California"
"25",25,"2019-01-17 00:00:00",812,512.93,"Breinigsville","PA",40.55276,-75.61496,9,"Pennsylvania"
"26",26,"2019-01-21 00:00:00",482,257.61,"Tampa","FL",27.9068,-82.38041,1,"Florida"
"27",27,"2019-01-21 00:00:00",1948,1117.59,"South San Francisco","CA",37.65475,-122.41523,5,"California"
"28",31,"2019-01-24 00:00:00",1369,494.33,"South Hackensack","NJ",40.86141,-74.04833,21,"New Jersey"
"29",28,"2019-01-22 00:00:00",567,184.25,"Claysburg","PA",40.27991,-78.45776,3,"Pennsylvania"
"30",29,"2019-01-23 00:00:00",2859,2721.33,"Chino","CA",33.96314,-117.63632,8,"California"
"31",30,"2019-01-23 00:00:00",504,184.25,"Newark","NJ",40.70736,-74.21051,8,"New Jersey"
"32",32,"2019-01-24 00:00:00",1454,271.21,"Mt Sterling","IL",39.97117,-90.65417,16,"Illinois"
"33",33,"2019-01-25 00:00:00",138,237.25,"Santa Monica","CA",34.0268,-118.4729,1,"California"
"34",34,"2019-01-25 00:00:00",549,196.14,"Dallas","TX",32.75394,-96.86541,15,"Texas"
